codigo_cliente,rango_morosidad,monto_credito,monto_por_vencer,monto_vencido,intereses,producto_host,dias_mora,gestor,recibe_sueldo_fijo,provincia_cliente,region,sector_general
DNI-6196152,16 - 30 DIAS,6000.0,0.0,80.31,78.19,PRECISO,21,RED COMERCIAL,SÍ,PICHINCHA,SIERRA,COMERCIO
DNI-4174029,31 - 60 DIAS,12685.0,5705.27,0.0,141.23,PRECISO,41,RED COMERCIAL,SÍ,PICHINCHA,SIERRA,SIN ACTIVIDAD ECONÓMICA
DNI-2240844,31 - 60 DIAS,7413.0,0.0,110.41,122.61,PRECISO,59,DIGITAL,SÍ,LOS RIOS,COSTA,COMERCIO
DNI-1978872,16 - 30 DIAS,21000.0,0.0,328.18,456.28,PRECISO,29,DIGITAL,NO,PICHINCHA,SIERRA,SECTOR FINANCIERO
DNI-7194570,16 - 30 DIAS,10872.0,0.0,92.27,40.83,PRECISO,16,RED COMERCIAL,NO,PICHINCHA,SIERRA,SERVICIOS
DNI-2558759,6 - 15 DIAS,1700.0,1465.42,0.0,37.6,AUTOS,12,DIGITAL,NO,SANTO DOMINGO DE LOS TSACHILAS,COSTA,COMERCIO
DNI-2657489,31 - 60 DIAS,3000.0,2663.41,0.0,73.72,PRECISO,31,DIGITAL,SÍ,PICHINCHA,SIERRA,SECTOR PÚBLICO
DNI-9520184,16 - 30 DIAS,12760.0,0.0,151.36,182.3,PRECISO,17,DIGITAL,SÍ,PICHINCHA,SIERRA,SERVICIOS
DNI-3182468,16 - 30 DIAS,2986.0,2668.8,0.0,60.92,PRECISO,28,DIGITAL,NO,PICHINCHA,SIERRA,SECTOR PÚBLICO
DNI-5043923,6 - 15 DIAS,1612.0,1466.57,0.0,33.92,PRECISO,13,DIGITAL,NO,PICHINCHA,SIERRA,SIN ACTIVIDAD ECONÓMICA
DNI-1899264,6 - 15 DIAS,2848.0,1769.46,0.0,45.63,PRECISO,15,DIGITAL,NO,PICHINCHA,SIERRA,INDUSTRIA / MANUFACTURA
DNI-1664699,31 - 60 DIAS,16600.0,0.0,215.82,449.97,PRECISO,55,DIGITAL,NO,PICHINCHA,SIERRA,COMERCIO
DNI-8722170,16 - 30 DIAS,20270.0,0.0,248.63,478.07,PRECISO,23,DIGITAL,SÍ,PICHINCHA,SIERRA,COMERCIO
DNI-4017152,6 - 15 DIAS,5000.0,0.0,87.96,174.09,PRECISO,12,DIGITAL,SÍ,SANTO DOMINGO DE LOS TSACHILAS,COSTA,COMERCIO
DNI-9973650,6 - 15 DIAS,1500.0,1138.22,0.0,26.76,PRECISO,11,DIGITAL,NO,PICHINCHA,SIERRA,SERVICIOS
DNI-3871724,31 - 60 DIAS,6520.0,0.0,127.28,155.38,PRECISO,38,RED COMERCIAL,NO,PICHINCHA,SIERRA,SIN ACTIVIDAD ECONÓMICA
DNI-9140460,6 - 15 DIAS,10498.0,0.0,153.7,146.13,PRECISO,15,DIGITAL,NO,PICHINCHA,SIERRA,AGROPECUARIO
DNI-7649301,16 - 30 DIAS,11776.0,6858.46,0.0,91.4,PRECISO,20,DIGITAL,SÍ,PICHINCHA,SIERRA,EDUCACIÓN Y SALUD
DNI-3816050,16 - 30 DIAS,8900.0,0.0,76.02,313.2,PRECISO,18,DIGITAL,SÍ,PICHINCHA,SIERRA,SERVICIOS
DNI-766626,6 - 15 DIAS,7000.0,4621.54,0.0,46.33,PRECISO,13,DIGITAL,NO,GUAYAS,COSTA,SIN ACTIVIDAD ECONÓMICA
DNI-2942188,16 - 30 DIAS,19797.0,0.0,278.74,536.15,PRECISO,25,DIGITAL,NO,PICHINCHA,SIERRA,SERVICIOS
DNI-2180418,16 - 30 DIAS,13874.0,0.0,198.36,328.35,PRECISO,27,DIGITAL,NO,SUCUMBIOS,AMAZONIA,SIN ACTIVIDAD ECONÓMICA
DNI-1154222,31 - 60 DIAS,1955.0,1186.15,0.0,25.88,PRECISO,43,DIGITAL,NO,PICHINCHA,SIERRA,SECTOR FINANCIERO
DNI-2663636,16 - 30 DIAS,2000.0,1552.96,0.0,42.58,PRECISO,16,DIGITAL,NO,MANABI,COSTA,SERVICIOS
DNI-4627305,6 - 15 DIAS,7237.0,0.0,98.88,163.86,PRECISO,10,DIGITAL,SÍ,MANABI,COSTA,EDUCACIÓN Y SALUD
DNI-6778851,31 - 60 DIAS,16348.0,0.0,226.7,458.65,PRECISO,40,RED COMERCIAL,NO,MANABI,COSTA,SIN ACTIVIDAD ECONÓMICA
DNI-7058224,16 - 30 DIAS,7661.0,0.0,72.97,48.45,PRECISO,20,DIGITAL,SÍ,GUAYAS,COSTA,AGROPECUARIO
DNI-4708839,16 - 30 DIAS,28000.0,25983.96,0.0,447.24,PRODUCTO MUJER,24,DIGITAL,NO,GUAYAS,COSTA,COMERCIO
DNI-816136,16 - 30 DIAS,2300.0,0.0,41.66,50.03,PRECISO,23,DIGITAL,NO,PICHINCHA,SIERRA,SERVICIOS
DNI-8561011,31 - 60 DIAS,1612.0,0.0,27.78,36.46,PRECISO,42,DIGITAL,NO,MANABI,COSTA,COMERCIO
DNI-7411106,31 - 60 DIAS,1235.0,1043.67,0.0,24.95,PRECISO,35,DIGITAL,NO,MANABI,COSTA,SERVICIOS
DNI-5092632,16 - 30 DIAS,18016.0,0.0,202.4,634.99,PRECISO,21,DIGITAL,SÍ,MANABI,COSTA,SECTOR PÚBLICO
DNI-2744171,16 - 30 DIAS,3000.0,0.0,128.5,46.52,PRECISO,19,DIGITAL,SÍ,MANABI,COSTA,EDUCACIÓN Y SALUD
DNI-1979412,31 - 60 DIAS,3266.0,0.0,77.43,26.01,PRECISO,40,DIGITAL,NO,MANABI,COSTA,SERVICIOS
DNI-3785334,31 - 60 DIAS,15114.0,11003.96,0.0,144.44,PRECISO,35,DIGITAL,NO,MANABI,COSTA,COMERCIO
DNI-9122291,6 - 15 DIAS,2212.0,0.0,49.03,30.33,PRECISO,15,DIGITAL,NO,MANABI,COSTA,INDUSTRIA / MANUFACTURA
DNI-9149526,31 - 60 DIAS,31112.0,0.0,229.97,266.34,PRECISO,52,DIGITAL,SÍ,MANABI,COSTA,TRANSPORTE Y LOGÍSTICA
DNI-5304499,31 - 60 DIAS,2664.0,2091.26,0.0,48.93,PRECISO,40,DIGITAL,SÍ,,NO_ESPECIFICADO,SERVICIOS
DNI-1424632,6 - 15 DIAS,6835.0,6074.28,0.0,141.1,PRECISO,13,RED COMERCIAL,NO,,NO_ESPECIFICADO,EDUCACIÓN Y SALUD
DNI-3313908,6 - 15 DIAS,5357.0,3964.05,0.0,103.67,PRECISO,12,RED COMERCIAL,NO,PICHINCHA,SIERRA,COMERCIO
DNI-5549283,16 - 30 DIAS,12722.0,0.0,154.17,421.06,PRECISO,22,DIGITAL,NO,MANABI,COSTA,SIN ACTIVIDAD ECONÓMICA
DNI-4819312,16 - 30 DIAS,9200.0,0.0,176.72,243.76,PRECISO,30,DIGITAL,SÍ,MANABI,COSTA,COMERCIO
DNI-8593617,16 - 30 DIAS,9582.0,0.0,111.94,248.12,PRECISO,16,RED COMERCIAL,NO,MANABI,COSTA,SIN ACTIVIDAD ECONÓMICA
DNI-7356633,31 - 60 DIAS,4373.0,0.0,52.69,152.26,PRECISO,32,DIGITAL,NO,MANABI,COSTA,EDUCACIÓN Y SALUD
DNI-1075909,31 - 60 DIAS,4000.0,2356.96,0.0,58.22,PRECISO,58,DIGITAL,SÍ,EL ORO,COSTA,AGROPECUARIO
DNI-2867564,16 - 30 DIAS,25000.0,11550.4,0.0,220.88,PRODUCTO MUJER,20,DIGITAL,SÍ,MANABI,COSTA,COMERCIO
DNI-5686117,31 - 60 DIAS,39981.42,30187.76,0.0,744.99,AUTOS,35,DIGITAL,SÍ,MANABI,COSTA,COMERCIO
DNI-2976168,6 - 15 DIAS,9440.0,6462.02,0.0,158.96,PRECISO,11,DIGITAL,NO,GUAYAS,COSTA,SERVICIOS
DNI-8974994,16 - 30 DIAS,5760.0,0.0,85.48,158.07,PRECISO,22,RED COMERCIAL,NO,GUAYAS,COSTA,SIN ACTIVIDAD ECONÓMICA
DNI-4688527,16 - 30 DIAS,40000.0,8477.78,0.0,106.03,PRODUCTO MUJER,20,RED COMERCIAL,SÍ,GUAYAS,COSTA,COMERCIO
DNI-3133499,16 - 30 DIAS,3843.0,0.0,73.39,84.36,PRECISO,26,DIGITAL,NO,CHIMBORAZO,SIERRA,INDUSTRIA / MANUFACTURA
DNI-2158497,6 - 15 DIAS,9612.0,0.0,174.08,122.81,PRECISO,15,DIGITAL,NO,AZUAY,SIERRA,SIN ACTIVIDAD ECONÓMICA
DNI-2323535,31 - 60 DIAS,17777.0,13955.74,0.0,324.96,PRECISO,35,DIGITAL,SÍ,ORELLANA,AMAZONIA,SIN ACTIVIDAD ECONÓMICA
DNI-8234136,6 - 15 DIAS,2584.0,0.0,29.48,91.67,PRECISO,14,DIGITAL,NO,NAPO,AMAZONIA,SIN ACTIVIDAD ECONÓMICA
DNI-67617,6 - 15 DIAS,3534.0,2071.5,0.0,39.74,PRECISO,11,DIGITAL,NO,AZUAY,SIERRA,AGROPECUARIO
DNI-9434118,16 - 30 DIAS,4494.0,4042.59,0.0,97.94,PRECISO,17,DIGITAL,SÍ,NAPO,AMAZONIA,SERVICIOS
DNI-5442506,16 - 30 DIAS,2093.0,1140.2,0.0,26.96,PRECISO,20,RED COMERCIAL,SÍ,PICHINCHA,SIERRA,INDUSTRIA
DNI-642278,31 - 60 DIAS,4500.0,3672.49,0.0,72.14,PRECISO,38,DIGITAL,NO,PICHINCHA,SIERRA,SIN ACTIVIDAD ECONÓMICA
DNI-6995319,16 - 30 DIAS,6761.0,5307.68,0.0,125.51,PRECISO,19,DIGITAL,NO,PICHINCHA,SIERRA,COMERCIO
DNI-9898378,6 - 15 DIAS,5327.0,0.0,62.64,174.56,PRECISO,13,DIGITAL,SÍ,SANTO DOMINGO DE LOS TSACHILAS,COSTA,AGROPECUARIO
DNI-1469780,6 - 15 DIAS,18641.21,0.0,160.47,473.65,AUTOS,14,DIGITAL,SÍ,ESMERALDAS,COSTA,INDUSTRIA / MANUFACTURA
DNI-5243726,6 - 15 DIAS,21719.0,16750.15,0.0,419.95,PRECISO,11,DIGITAL,SÍ,PICHINCHA,SIERRA,SERVICIOS
DNI-3530135,31 - 60 DIAS,9000.0,0.0,126.72,229.01,PRECISO,44,DIGITAL,SÍ,PICHINCHA,SIERRA,EDUCACIÓN Y SALUD
DNI-1653881,16 - 30 DIAS,1500.0,0.0,13.18,38.84,PRECISO,18,DIGITAL,SÍ,PICHINCHA,SIERRA,SIN ACTIVIDAD ECONÓMICA
DNI-9626590,16 - 30 DIAS,5052.0,0.0,78.95,101.3,PRECISO,21,DIGITAL,SÍ,PICHINCHA,SIERRA,SIN ACTIVIDAD ECONÓMICA
DNI-630284,6 - 15 DIAS,20470.0,0.0,199.71,400.11,PRECISO,15,DIGITAL,NO,TUNGURAHUA,SIERRA,COMERCIO
DNI-1971925,31 - 60 DIAS,1431.0,0.0,17.19,34.26,PRECISO,35,DIGITAL,SÍ,TUNGURAHUA,SIERRA,COMERCIO
DNI-5943788,31 - 60 DIAS,13896.99,0.0,182.94,300.32,AUTOS,38,DIGITAL,NO,TUNGURAHUA,SIERRA,COMERCIO
DNI-4327381,6 - 15 DIAS,3300.0,2562.61,0.0,62.6,PRECISO,11,DIGITAL,SÍ,TUNGURAHUA,SIERRA,SECTOR PÚBLICO
DNI-1658292,16 - 30 DIAS,5000.0,4056.76,0.0,93.25,PRECISO,18,DIGITAL,NO,TUNGURAHUA,SIERRA,COMERCIO
DNI-2586376,31 - 60 DIAS,3422.0,2184.58,0.0,52.85,PRECISO,33,DIGITAL,NO,TUNGURAHUA,SIERRA,INDUSTRIA
DNI-8437242,16 - 30 DIAS,2572.0,1449.18,0.0,35.29,PRECISO,26,DIGITAL,SÍ,ZAMORA CHINCHIPE,AMAZONIA,SIN ACTIVIDAD ECONÓMICA
DNI-7101756,6 - 15 DIAS,7584.0,0.0,148.04,162.3,PRECISO,15,RED COMERCIAL,SÍ,PASTAZA,AMAZONIA,SIN ACTIVIDAD ECONÓMICA
DNI-3557687,6 - 15 DIAS,5769.0,2815.69,0.0,36.3,PRECISO,10,RED COMERCIAL,SÍ,GALAPAGOS,GALAPAGOS,SIN ACTIVIDAD ECONÓMICA
DNI-4145691,31 - 60 DIAS,9606.0,0.0,72.67,88.48,PRECISO,35,DIGITAL,NO,GALAPAGOS,GALAPAGOS,COMERCIO
DNI-1076190,6 - 15 DIAS,5400.0,0.0,76.04,115.31,PRECISO,10,DIGITAL,SÍ,SUCUMBIOS,AMAZONIA,SERVICIOS
DNI-8273698,16 - 30 DIAS,9600.0,0.0,141.55,82.09,PRECISO,23,DIGITAL,NO,SUCUMBIOS,AMAZONIA,SECTOR PÚBLICO
DNI-2147591,31 - 60 DIAS,38304.0,0.0,531.17,979.24,PRECISO,50,DIGITAL,SÍ,SUCUMBIOS,AMAZONIA,CONSTRUCCIÓN
DNI-8399713,31 - 60 DIAS,5000.0,0.0,143.85,39.15,PRECISO,44,DIGITAL,SÍ,SUCUMBIOS,AMAZONIA,COMERCIO
DNI-368324,6 - 15 DIAS,21344.0,0.0,356.95,524.58,PRECISO,13,DIGITAL,SÍ,SUCUMBIOS,AMAZONIA,SERVICIOS
DNI-2760359,16 - 30 DIAS,6481.0,0.0,91.25,177.57,PRECISO,23,DIGITAL,NO,SUCUMBIOS,AMAZONIA,SERVICIOS
DNI-5101780,31 - 60 DIAS,3023.0,0.0,41.31,82.26,PRECISO,35,DIGITAL,SÍ,SUCUMBIOS,AMAZONIA,SERVICIOS
DNI-6126559,16 - 30 DIAS,3142.0,0.0,42.84,68.72,PRECISO,30,DIGITAL,SÍ,ORELLANA,AMAZONIA,AGROPECUARIO
DNI-8725162,6 - 15 DIAS,13511.56,10150.39,0.0,249.4,AUTOS,13,DIGITAL,SÍ,PICHINCHA,SIERRA,COMERCIO
DNI-794082,31 - 60 DIAS,2859.0,0.0,62.89,40.82,PRECISO,33,DIGITAL,NO,ORELLANA,AMAZONIA,SERVICIOS
DNI-8541679,31 - 60 DIAS,35000.0,0.0,954.52,619.68,PRODUCTIVO,42,DIGITAL,NO,AZUAY,SIERRA,SERVICIOS
DNI-3685651,16 - 30 DIAS,5000.0,0.0,66.29,156.71,PRECISO,18,DIGITAL,NO,AZUAY,SIERRA,COMERCIO
DNI-8282710,6 - 15 DIAS,4094.0,0.0,51.13,104.54,PRECISO,12,DIGITAL,NO,PICHINCHA,SIERRA,COMERCIO
DNI-9321058,16 - 30 DIAS,7412.0,0.0,108.31,115.33,PRECISO,18,DIGITAL,SÍ,SUCUMBIOS,AMAZONIA,SERVICIOS
DNI-5840569,6 - 15 DIAS,25732.78,22911.26,0.0,610.97,AUTOS,12,DIGITAL,SÍ,AZUAY,SIERRA,COMERCIO
DNI-6635965,6 - 15 DIAS,38309.0,0.0,500.22,1192.46,PRECISO,15,DIGITAL,SÍ,MANABI,COSTA,SECTOR FINANCIERO
DNI-916087,16 - 30 DIAS,40000.0,29114.82,0.0,552.39,PRODUCTIVO,22,DIGITAL,NO,AZUAY,SIERRA,COMERCIO
DNI-8223500,31 - 60 DIAS,3032.0,0.0,36.43,35.51,PRECISO,54,DIGITAL,NO,PICHINCHA,SIERRA,COMERCIO
DNI-7276928,16 - 30 DIAS,3618.0,0.0,54.85,72.3,PRECISO,24,RED COMERCIAL,NO,MANABI,COSTA,COMERCIO
DNI-3698616,31 - 60 DIAS,9937.0,0.0,124.59,236.8,PRECISO,40,DIGITAL,SÍ,AZUAY,SIERRA,SERVICIOS
DNI-6889232,31 - 60 DIAS,13195.0,0.0,175.06,294.76,PRECISO,35,DIGITAL,NO,EL ORO,COSTA,COMERCIO
DNI-432150,31 - 60 DIAS,11500.0,10875.77,0.0,258.91,PRECISO,44,DIGITAL,SÍ,EL ORO,COSTA,COMERCIO
DNI-9290553,31 - 60 DIAS,2742.0,0.0,41.63,63.75,PRECISO,37,DIGITAL,NO,EL ORO,COSTA,SERVICIOS
DNI-7483231,6 - 15 DIAS,5100.0,0.0,88.37,151.68,PRECISO,10,DIGITAL,NO,EL ORO,COSTA,COMERCIO
DNI-995834,6 - 15 DIAS,6638.0,3042.39,0.0,68.28,PRECISO,12,DIGITAL,SÍ,EL ORO,COSTA,SECTOR PÚBLICO
DNI-9523582,31 - 60 DIAS,14409.05,13512.88,0.0,324.97,AUTOS,42,RED COMERCIAL,SÍ,EL ORO,COSTA,COMERCIO
DNI-9268514,6 - 15 DIAS,6942.0,0.0,183.15,31.25,PRECISO,13,DIGITAL,NO,EL ORO,COSTA,COMERCIO
DNI-308081,31 - 60 DIAS,3738.0,2981.26,0.0,37.01,PRECISO,46,DIGITAL,NO,EL ORO,COSTA,SERVICIOS
DNI-2174332,31 - 60 DIAS,22502.51,18515.35,0.0,434.73,AUTOS,35,DIGITAL,SÍ,MANABI,COSTA,SERVICIOS
DNI-3228109,31 - 60 DIAS,12500.0,0.0,158.52,407.95,PRECISO,48,DIGITAL,NO,MANABI,COSTA,SERVICIOS
DNI-4046471,16 - 30 DIAS,4851.0,0.0,25.64,54.24,PRECISO,30,DIGITAL,NO,MANABI,COSTA,SERVICIOS
DNI-8966408,31 - 60 DIAS,2367.0,0.0,47.61,42.3,PRECISO,42,DIGITAL,SÍ,MANABI,COSTA,EDUCACIÓN Y SALUD
DNI-5924559,16 - 30 DIAS,11000.0,9114.18,0.0,231.17,PRECISO,29,DIGITAL,NO,MANABI,COSTA,SIN ACTIVIDAD ECONÓMICA
DNI-7342194,6 - 15 DIAS,6407.0,4090.35,0.0,92.94,PRECISO,12,DIGITAL,SÍ,MANABI,COSTA,SECTOR PÚBLICO
DNI-6780761,16 - 30 DIAS,3895.0,3314.61,0.0,81.06,PRECISO,19,DIGITAL,NO,MANABI,COSTA,SECTOR PÚBLICO
DNI-6240925,31 - 60 DIAS,9612.0,0.0,180.73,198.51,PRECISO,36,DIGITAL,SÍ,MANABI,COSTA,COMERCIO
DNI-6578839,6 - 15 DIAS,10698.0,0.0,35.58,155.03,PRECISO,10,DIGITAL,SÍ,MANABI,COSTA,SIN ACTIVIDAD ECONÓMICA
DNI-6883510,31 - 60 DIAS,11648.0,0.0,166.05,304.04,PRECISO,36,DIGITAL,SÍ,EL ORO,COSTA,SERVICIOS
DNI-3977743,16 - 30 DIAS,15184.0,0.0,101.21,672.59,PRECISO,29,DIGITAL,SÍ,EL ORO,COSTA,MINERÍA Y EXTRACCIÓN
DNI-3233234,31 - 60 DIAS,7637.0,5995.49,0.0,101.99,PRECISO,44,RED COMERCIAL,SÍ,EL ORO,COSTA,TRANSPORTE Y LOGÍSTICA
DNI-7650571,6 - 15 DIAS,7947.0,0.0,201.1,49.21,PRECISO,11,DIGITAL,SÍ,EL ORO,COSTA,SERVICIOS
DNI-6901709,16 - 30 DIAS,1783.0,0.0,30.26,50.32,PRECISO,27,DIGITAL,NO,EL ORO,COSTA,AGROPECUARIO
DNI-41203,31 - 60 DIAS,10297.0,0.0,69.31,358.45,PRECISO,34,DIGITAL,NO,GUAYAS,COSTA,SIN ACTIVIDAD ECONÓMICA
DNI-5990981,6 - 15 DIAS,1715.0,1206.49,0.0,29.11,PRECISO,15,DIGITAL,NO,EL ORO,COSTA,SERVICIOS
DNI-3282145,16 - 30 DIAS,7833.0,0.0,113.64,170.66,PRECISO,30,DIGITAL,SÍ,EL ORO,COSTA,MINERÍA Y EXTRACCIÓN
DNI-1703601,31 - 60 DIAS,10059.0,0.0,114.75,358.78,PRECISO,37,DIGITAL,SÍ,EL ORO,COSTA,EDUCACIÓN Y SALUD
DNI-5917462,31 - 60 DIAS,11262.0,0.0,178.77,216.55,PRECISO,46,RED COMERCIAL,SÍ,GUAYAS,COSTA,SERVICIOS
DNI-9002163,16 - 30 DIAS,9459.0,7807.32,0.0,212.24,PRECISO,20,DIGITAL,NO,EL ORO,COSTA,SECTOR PÚBLICO
DNI-5164554,6 - 15 DIAS,9635.0,0.0,215.05,137.89,PRECISO,15,RED COMERCIAL,NO,EL ORO,COSTA,COMERCIO
DNI-9362322,6 - 15 DIAS,1200.0,0.0,11.04,41.81,AUTOS,11,DIGITAL,NO,MANABI,COSTA,AGROPECUARIO
DNI-1010464,31 - 60 DIAS,1715.0,1331.69,0.0,31.51,PRECISO,35,DIGITAL,SÍ,EL ORO,COSTA,SERVICIOS
DNI-5812232,6 - 15 DIAS,4800.0,1646.56,0.0,40.62,PRECISO,13,DIGITAL,SÍ,EL ORO,COSTA,INDUSTRIA
DNI-329085,16 - 30 DIAS,7300.0,6753.75,0.0,155.51,PRECISO,18,DIGITAL,NO,EL ORO,COSTA,MINERÍA Y EXTRACCIÓN
DNI-6945582,16 - 30 DIAS,7276.0,0.0,83.01,144.18,PRECISO,20,RED COMERCIAL,NO,EL ORO,COSTA,SERVICIOS
DNI-1168129,31 - 60 DIAS,55000.0,0.0,3292.47,473.71,PRODUCTO MUJER,42,DIGITAL,SÍ,EL ORO,COSTA,TRANSPORTE Y LOGÍSTICA
DNI-1775073,31 - 60 DIAS,27053.39,21830.7,0.0,466.65,AUTOS,38,DIGITAL,NO,GUAYAS,COSTA,CONSTRUCCIÓN
DNI-4806216,31 - 60 DIAS,4016.0,0.0,1.61,35.85,PRECISO,34,DIGITAL,SÍ,ESMERALDAS,COSTA,EDUCACIÓN Y SALUD
DNI-8290444,16 - 30 DIAS,13557.79,0.0,99.4,265.21,AUTOS,25,RED COMERCIAL,SÍ,GUAYAS,COSTA,COMERCIO
DNI-8239375,31 - 60 DIAS,2743.0,0.0,37.48,72.52,PRECISO,37,DIGITAL,NO,ESMERALDAS,COSTA,SERVICIOS
DNI-6213239,31 - 60 DIAS,12987.62,6455.59,0.0,159.92,AUTOS,31,RED COMERCIAL,SÍ,ESMERALDAS,COSTA,COMERCIO
DNI-7594634,31 - 60 DIAS,2599.0,0.0,43.49,49.28,PRECISO,53,RED COMERCIAL,NO,ESMERALDAS,COSTA,AGROPECUARIO
DNI-7151511,16 - 30 DIAS,25000.0,0.0,398.17,425.53,PRECISO,24,DIGITAL,SÍ,PICHINCHA,SIERRA,COMERCIO
DNI-5964309,16 - 30 DIAS,7916.0,0.0,103.36,265.43,PRECISO,20,RED COMERCIAL,SÍ,MANABI,COSTA,AGROPECUARIO
DNI-1917159,16 - 30 DIAS,3432.0,0.0,65.74,84.27,PRECISO,19,DIGITAL,SÍ,LOS RIOS,COSTA,AGROPECUARIO
DNI-7740737,31 - 60 DIAS,17566.0,4093.85,0.0,40.88,PRECISO,60,DIGITAL,NO,LOS RIOS,COSTA,TRANSPORTE Y LOGÍSTICA
DNI-4995019,31 - 60 DIAS,8309.0,0.0,94.28,172.0,PRECISO,52,DIGITAL,SÍ,LOS RIOS,COSTA,TRANSPORTE Y LOGÍSTICA
DNI-4284437,16 - 30 DIAS,5527.0,4186.98,0.0,56.66,PRECISO,30,DIGITAL,NO,LOS RIOS,COSTA,SIN ACTIVIDAD ECONÓMICA
DNI-7146906,6 - 15 DIAS,6000.0,4844.98,0.0,116.02,PRECISO,11,DIGITAL,SÍ,LOS RIOS,COSTA,COMERCIO
DNI-568795,6 - 15 DIAS,20751.0,11818.78,0.0,143.04,PRECISO,11,DIGITAL,NO,LOS RIOS,COSTA,AGROPECUARIO
DNI-5221790,16 - 30 DIAS,3432.0,0.0,65.98,48.26,PRECISO,19,RED COMERCIAL,NO,BOLIVAR,SIERRA,AGROPECUARIO
DNI-6236559,6 - 15 DIAS,2000.0,1470.88,0.0,34.28,PRECISO,10,DIGITAL,SÍ,LOS RIOS,COSTA,AGROPECUARIO
